id;Код;остаток
1715;А7310;8
1716;А7312;0
1717;А7313;5
1718;А7314;7
1719;А7381;0
1720;А7382;2
1721;А7383;0
1924;А7390;0
1722;А7408;2
1723;А7424;5
1917;А7426;1
1725;А7433;0
2006;А7434;4
2007;А7436;3
1726;А7437;0
1925;А7450;0
2008;А7501;0
2009;А7502;0
1918;А7503;0
1727;А7504;0
1728;А7506;0
1729;А7508;0
2010;А7511;3
329;А7515;0
1730;А7515;0
1731;А7519;0
1919;А7527;2
332;А7528;0
1732;А7535;0
1733;А7600;0
334;А7600;2
1920;А7601;2
1734;А7602;1
335;А7605;0
336;А7606;1
337;А7607;0
339;А7609;0
340;А7610;1
341;А7611;1
342;А7612;1
343;А7613;0
344;А7616;4
345;А7617;1
346;А7618;2
347;А7619;3
1921;А7620;2
351;А7623;3
352;А7642;1
354;А7644;3
1922;А7645;1
356;А7667;1
357;А7668;5
1923;А7707;0
1647;брил40бел;0
1712;БСК0104608-10-12;0
2002;БСК0105310;0
2001;БСК0105410;2
1711;БСК0108110;0
1998;БСК0236910-12;2
2005;БСК0627012;3
2003;БСК1103210;2
1706;БСП0130008;3
1708;БСП0204918;0
1707;БСП0230010;3
2017;БСП0502512;0
1704;БСП0510012;3
374;БСП0530012;1
1705;БСП0610012;2
2004;БСП0630010;2
2016;БСП1704910;2
1709;БСР0203008-12;0
1710;БСР0306808-12;5
387;Е-С215;1
391;Е-С226;0
399;Е-С268;7
1973;Е-С340;0
407;Е-С350;0
414;Е-С440;0
418;Е-С463;0
1974;Е-С476;0
422;Е-С535;3
2031;Е-С551;0
429;Е-С650;0
432;Е-С680;0
1975;Е-С710;0
1976;Е-С728;0
2079;Е-С758;0
1784;ЕC238;1
1895;ЕС187;1
1896;ЕС200;0
1897;ЕС204;0
1899;ЕС206;0
1901;ЕС208;0
497;ЕС217;0
2021;ЕС223;1
2022;ЕС226;0
1903;ЕС231;3
1904;ЕС233;4
1907;ЕС237;4
1908;ЕС283;2
504;ЕС300;1
505;ЕС301;1
508;ЕС304;1
1911;ЕС305;1
511;ЕС307;3
512;ЕС308;4
516;ЕС315;0
1912;ЕС330;2
1914;ЕС384;0
1915;ЕС385;2
1864;ЕС501;0
1742;ЕС550;0
1743;ЕС650;0
1744;ЕС662;0
1745;Е-С760;1
1746;Е-С768;1
1688;МС134;0
1951;МС135;2
1952;МС141;0
1656;овал31бел;0
526;Р1030;19
527;Р1040;76
528;Р1050;86
529;Р1060;56
