id;йНД;НЯРЮРНЙ;яЙКЮД
148;TXB132;406;3
149;TXB133;12;3
150;TXB171;1;3
151;TXB172;9;3
152;TXB173;25;3
153;TXB174;15;3
154;TXB189;0;3
156;TXB205;0;3
157;TXB206;0;3
1965;TXB211;53;3
160;TXB216;0;3
165;TXB271;0;3
166;TXB280C;26;3
168;TXB284;84;3
169;TXB293;386;3
172;TXB315;0;3
173;TXB316;0;3
175;TXB389;48;3
176;TXB394;1;3
177;TXB422;1;3
181;TXB497;38;3
182;TXB498;0;3
183;TXB561;0;3
186;TXB565;0;3
187;TXB592;0;3
188;TXB603;0;3
190;TXB644;0;3
192;TXB646;19;3
196;TXB662;0;3
197;TXB664;0;3
199;TXB667;0;3
205;TXB756;10;3
208;TXB801;0;3
211;TXB821;46;3
212;TXB826;13;3
213;TXB827;56;3
214;TXB828;0;3
215;TXB849;38;3
219;TXB906;2;3
220;TXB908;0;3
223;TXC419;0;3
224;TXC494;121;3
225;TXC495;200;3
227;TXC842;1;3
229;TXC861;0;3
232;TXD484;92;3
238;TXF359;431;3
240;TXF426;0;3
243;TXF637;50;3
246;TXF748-ю;0;3
249;TXF837;35;3
250;TXF838;16;3
251;TXM434;0;3
253;TXP001;73;3
254;TXP066;41;3
257;TXP082;494;3
258;TXP226;2;3
260;TXP384;0;3
262;TXP485;160;3
265;TXP786;1;3
269;TXR141;0;3
270;TXR371;5;3
272;TXR606;5;3
287;YHW009;0;3
1898;ю7031;0;3
1902;ю7034;0;3
1905;ю7037;3;3
1909;ю7100;0;3
1713;ю7300;0;3
1910;ю7305;0;3
1913;ю7306;3;3
1714;ю7309;8;3
1715;ю7310;8;3
1716;ю7312;0;3
1717;ю7313;5;3
1718;ю7314;7;3
1719;ю7381;0;3
1720;ю7382;2;3
1721;ю7383;0;3
1924;ю7390;0;3
1722;ю7408;2;3
1723;ю7424;5;3
1917;ю7426;1;3
1725;ю7433;0;3
2006;ю7434;4;3
2007;ю7436;3;3
1726;ю7437;0;3
1925;ю7450;0;3
2008;ю7501;0;3
2009;ю7502;0;3
1918;ю7503;0;3
1727;ю7504;0;3
1728;ю7506;0;3
1729;ю7508;0;3
2010;ю7511;3;3
329;ю7515;0;3
1730;ю7515;0;3
1731;ю7519;0;3
1919;ю7527;2;3
332;ю7528;0;3
1732;ю7535;0;3
1733;ю7600;0;3
334;ю7600;2;3
1920;ю7601;2;3
1734;ю7602;1;3
335;ю7605;0;3
336;ю7606;1;3
337;ю7607;0;3
339;ю7609;0;3
340;ю7610;1;3
341;ю7611;1;3
342;ю7612;1;3
343;ю7613;0;3
344;ю7616;4;3
345;ю7617;1;3
346;ю7618;2;3
347;ю7619;3;3
1921;ю7620;2;3
351;ю7623;3;3
352;ю7642;1;3
354;ю7644;3;3
1922;ю7645;1;3
356;ю7667;1;3
357;ю7668;5;3
1923;ю7707;0;3
1647;АПХК40АЕК;0;3
1712;аяй0104608-10-12;0;3
2002;аяй0105310;0;3
2001;аяй0105410;2;3
1711;аяй0108110;0;3
1998;аяй0236910-12;2;3
2005;аяй0627012;3;3
2003;аяй1103210;2;3
1706;аяо0130008;3;3
1708;аяо0204918;0;3
1707;аяо0230010;3;3
2017;аяо0502512;0;3
1704;аяо0510012;3;3
374;аяо0530012;1;3
1705;аяо0610012;2;3
2004;аяо0630010;2;3
2016;аяо1704910;2;3
1709;аяп0203008-12;0;3
1710;аяп0306808-12;5;3
387;е-я215;1;3
391;е-я226;0;3
399;е-я268;7;3
1973;е-я340;0;3
407;е-я350;0;3
414;е-я440;0;3
418;е-я463;0;3
1974;е-я476;0;3
422;е-я535;3;3
2031;е-я551;0;3
429;е-я650;0;3
432;е-я680;0;3
1975;е-я710;0;3
1976;е-я728;0;3
2079;е-я758;0;3
1784;еC238;1;3
1895;ея187;1;3
1896;ея200;0;3
1897;ея204;0;3
1899;ея206;0;3
1901;ея208;0;3
497;ея217;0;3
2021;ея223;1;3
2022;ея226;0;3
1903;ея231;3;3
1904;ея233;4;3
1907;ея237;4;3
1908;ея283;2;3
504;ея300;1;3
505;ея301;1;3
508;ея304;1;3
1911;ея305;1;3
511;ея307;3;3
512;ея308;4;3
516;ея315;0;3
1912;ея330;2;3
1914;ея384;0;3
1915;ея385;2;3
1864;ея501;0;3
1742;ея550;0;3
1743;ея650;0;3
1744;ея662;0;3
1745;е-я760;1;3
1746;е-я768;1;3
1688;ля134;0;3
1951;ля135;2;3
1952;ля141;0;3
1656;НБЮК31АЕК;0;3
526;п1030;19;3
527;п1040;76;3
528;п1050;86;3
529;п1060;56;3
530;п1080;273;3
531;п1082;254;3
532;п1084;90;3
533;п1090;52;3
534;п1106;3;3
535;п1202;2;3
536;п1301;75;3
538;п1400;0;3
542;п1600;225;3
1977;п1710;43;3
545;п1750;33;3
546;п1751;35;3
547;п1752;37;3
548;п1753;36;3
1978;п1810;85;3
1979;п1811;91;3
1980;п1812;88;3
2023;п2000;2;3
555;п2010;164;3
559;п2300;292;3
