Артикул;Название;Эффект;Видео
GP498/2;Sofia  (0,8''x 25);Красно белый пион с мерцанием, бело - пурпурный пион с мерцанием, серебряная волна с мерцанием;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-fytDM7Q93I"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GP510;Wonderful perfomanse (1,0'' x 19);Бело-красное мерцание, серебряние мерцание с пальмой, золотая пушистая трещащая пальма;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kVIsGZ4_dXs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GPH3018;"Bright (1""х 16)";Зеленый пион, красно-желтый пион, зелено-белый пион, золотые пальмы с треском на концах;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/c8xq5QhffF0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GW218-74;Red pion (1,0''x 12);Красно-фиолетовые пионы, зелено-фиолетовые пионы, серебряные пионы с мерцанием, финал парчовая корона с переходом в трещащие хризантемы;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-Fgxjx6LAac"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GW218-90;Dark worlock   (0,8''x 9);Красная волна с белыми стробами;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zDqRzqIoRwQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GW218-91;Dark worlock   (0,8''x 9);Бело-красная пальма с белым стробом, зеленая пион с золоой волной с переходом в серебрянные хризантемы;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VU9M5U86G9k"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GW218-92;Dark worlock   (0,8''x 9);Зеленая волна с переходом в белые трещащие хризантемы;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/sQQgYdvoGBk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GW218-97 ;Sky sity   (0,8''x 10);Красно-зеленая волна, переходящая в белые трещащие хризантемы;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/l7VQkhYyq7g"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWL-0012A;Roman candle (1,2'' x 8);;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zNzUGzSQ6Ik"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWL-0012B;Roman candle (1,2'' x 8);;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kvRxXw5muvk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWL-0012C;Roman candle (1,2'' x 8);;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nZKty-ZfuBU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWM5032;"Deep red (1,2""х19)";Пальма в зеленых огнях, пальма с треском, красная пальма с белым и зеленым мерцанием;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/38x1hASZHDk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWM5033;Deep yellow  (1,2'' x 19);Красная пальма с треском, зеленая пальма с треском, золотая пальма;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RB1sD-uO_fA"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWM5034;"Wonderful world (1,2"" х 19)";Красно-белый пион, залп из серебряных хризантем с белыми пульсирующими огнями, финал веер из золотых трещащих пальм ;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TK-h_j9iz84"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWM5046;"Colourful fireworks (1"" х 7)";Серебряный фонтан с треском, белые трещащие кометы разрывающиеся трещащими пальмами;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/P8dBFEgihKQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWM5047;"Gorgeousness (1"" х 7)";Золотая трещащая комета разрывающаяся золотой трещащей пальмой;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RybJDTVMzuI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GWM6603;The phanton ( 0,8-1-1,2-2 х 66);Разноцветные пионы с переходом в трещащие хризантемы, красно-зеленые и пурпурные хризантемы, разноцветные пионы, разноцветные хризантемы и пионы с переходом в трещащие огни, красные хризантемы с серебряным мерцанием, золотые хризантемы с зеленым меранием;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Ksua_KMMNCE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
MC098;Speed  (1,2'' x 25);Пальма в красно-белых пульсирующих огнях, серебряная пальма, пальма в пурпурных огнях.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QRClfhTTyeU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
MC107 ;Show   (0,8''x 36);Красный пион с трещащими хризантемами, серебряная волна, зеленый пион.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qxBUfW3YFYU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
MC118;"Easter (0,8""-1"" х 55)";Золотая пальма с разноцветным мерцанием, залп из трех золотых хризантем, золотая пальма в золотом мерцании, красная хризантема, свист, трещащая махровая хризантема, финал залп из разноцетных пионов переходящих в 1000 золотых хризантем;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/itIiBG7xqXc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
MC122;"Makin magic (0,8"" х 80)";Красно-серебряный жемчужный пион с мерцанием, свистящие кометы, веерный залп из пушистых белых хризантем, золотая парчовая корона с трещащими хризантемами, зеленый пион с мерцанием;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7ARZ0UkKBR0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
MC136;"Shater (1"" х 60)";Зеленые, красные, золотые волны;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/o_TlYf8SrOY"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
MC150-25B;"Exclusive night (1,5"" х 25)";Золотая пальма в белых и розовых пульсирующих огнях, разноцветный пион с переходом в трещащие хризантемы, золотые хризантемы, финал 1000 золотых хризантем;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/136smAB-X_0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
MC175-19;"Shadow lady (1,75"" х 19)";Желто-красный пион, золотая хризантема, серебряная пушистая хризантема с белыми стробами, золотая ива с серебряными стробами;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tXyW1IPP364"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
SB-13-02;Splendid  (1,2'' x 13);Золотая ива с разноцветными огнями в центре, белый мерцающий пион.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/keBbmLuuLCE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
SB-19-03;Love of green (1,2'' x 19);Серебряная хризантема с фиолетовым пестиком, серебряная хризантема с зеленым пестиком, серебряная хризантема с треском;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JGAQTooXrbM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
SB-25-03;Big sure  (1,2'' x 25);Золотая хризантема с красными и зелеными огнями на концах, бело-зеленые стробы, золотая хризантема, разноцветный пион с переходом в 1000 трещащих золотых хризантем ;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vu4X1iXc7WY"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
SF-399;"Roman candle (2"" х 8)";;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/CaqffE2cPXs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
МС134;Wind   (0,8''x 100);Красно-белые и красно-зеленые волны со стробами, белые кометы со свистом, веерные залпы из красно-зеленых пионов, веерные залпы свистящих комет, веерные залпы из красно-фиолетовых падающих листьев, финал 1000 белых трещащих хризантем ;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/twd-DV0sUDk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
МС135;"Furious (0,8""х 90)";Красная волна, зелено-красный пион с мерцанием, финал парочая корона переходящая в трещащие хризантемы;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mT7wUzQNBGg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
МС141;Moving painter (0,8 х 120);;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/a6_1UR8gRRY"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
Р2000;Mega piratka;"Вспышка
Мега громкий хлопок";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/h7FY1gPCY4Y"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
P1005;Happy boom;Громкий хлопок;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ESd0TNiApSQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
D7162;Садко ;Разноцветные кометы взрываются и рассыпаются красными, синими, зелеными и серебристыми нитями со звездами на концах в серебристом мерцании. ;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EvzDQoV-zKQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
D7164;Полнолуние;"Серебряные разрывы  с красно-зелеными огнями; множество серебряных ниспадающих нитей с малиновыми и гранатовыми звездами; в финале- пальмовый разрыв с мерцанием тысячи хризантем.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zAKiOmI-pLU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
D7280;Праздничная фантазия;Ярко-красные пальмовые разрывы с зелеными и золотыми звездами на концах, чередуются золотыми пальмами с голубыми и золотыми звездами на концах, рассыпающиеся серебряным дождем. В финале золотой, сферический, разрыв с треском.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/F0XMxD3DDB0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
D7282;Матрешка;Сферические разрывы трещащих хризантем с треском чередуются с пальмовыми разрывами из красных жемчужин с мерцанием в финале мощный залп.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/gY1H4h8Glsc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
D7398;Савух;"Золотистый пион с гранатовыми и бирюзовыми звездами; каскад парчовых нитей с зелеными жемчужинами; синие звезды в серебристом мерцании; трещащее облако с множеством разноцветных огней.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/geLn1HmLVjs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
D7552;Зорро;Зеленые кометы разрываются зелеными жемчужинами с золотым шлейфом, разноцветные кометы разрываются и рассыпаются красными, синими и белыми звездами, взрывы сверкающих георгин, в финале белые залповые сферические разрывы с треском и звездным мерцанием.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-WxWgbpjL6s"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
