id_product;id_shop;name;meta_description;meta_keywords;meta_title;
"272";"16";"Ракеты (1уп.-6шт.)";"У нас Вы можете купить Ракеты (1уп.-6шт.) TXR606 по самым низким ценам!";"";"Ракеты (1уп.-6шт.) TXR606";
"287";"16";"SONG, 1 мин, 8сек (1.20" x 37)";"У нас Вы можете купить Батареи салютов SONG, 1 мин, 8сек (1.20" x 37) YHW009 по самым низким ценам!";"";"Батареи салютов SONG, 1 мин, 8сек (1.20" x 37) YHW009";
"329";"16";"Затерянный мир (1,25"х49)";"У нас Вы можете купить Батареи салютов Затерянный мир (1,25"х49) А7515 по самым низким ценам!";"";"Батареи салютов Затерянный мир (1,25"х49) А7515";
"332";"16";"Ночной Дозор (1"х100)";"У нас Вы можете купить Батареи салютов Ночной Дозор (1"х100) А7528 по самым низким ценам!";"";"Батареи салютов Ночной Дозор (1"х100) А7528";
"334";"16";"Снежный Вальс (1,25"х100)";"У нас Вы можете купить Батареи салютов Снежный Вальс (1,25"х100) А7600 по самым низким ценам!";"";"Батареи салютов Снежный Вальс (1,25"х100) А7600";
"335";"16";"Третий Рим (1,25" х 100)";"У нас Вы можете купить Батареи салютов Третий Рим (1,25" х 100) А7605 по самым низким ценам!";"";"Батареи салютов Третий Рим (1,25" х 100) А7605";
"336";"16";"Колизей (1,25" х 100)";"У нас Вы можете купить Батареи салютов Колизей (1,25" х 100) А7606 по самым низким ценам!";"";"Батареи салютов Колизей (1,25" х 100) А7606";
"337";"16";"Обручальные кольца (1,25" х 100)";"У нас Вы можете купить Батареи салютов Обручальные кольца (1,25" х 100) А7607 по самым низким ценам!";"";"Батареи салютов Обручальные кольца (1,25" х 100) А7607";
"339";"16";"Хозяин Тайги (1,25" х 100)";"У нас Вы можете купить Батареи салютов Хозяин Тайги (1,25" х 100) А7609 по самым низким ценам!";"";"Батареи салютов Хозяин Тайги (1,25" х 100) А7609";
"340";"16";"Золотая серия 100 (1,25" х 100)";"У нас Вы можете купить Батареи салютов Золотая серия 100 (1,25" х 100) А7610 по самым низким ценам!";"";"Батареи салютов Золотая серия 100 (1,25" х 100) А7610";
"341";"16";"Дикая орхидея (1,25" х 100)";"У нас Вы можете купить Батареи салютов Дикая орхидея (1,25" х 100) А7611 по самым низким ценам!";"";"Батареи салютов Дикая орхидея (1,25" х 100) А7611";
"342";"16";"Жемчужные волны (1,25" х 100)";"У нас Вы можете купить Батареи салютов Жемчужные волны (1,25" х 100) А7612 по самым низким ценам!";"";"Батареи салютов Жемчужные волны (1,25" х 100) А7612";
"343";"16";"В гостях у сказки (1,25" х 100)";"У нас Вы можете купить Батареи салютов В гостях у сказки (1,25" х 100) А7613 по самым низким ценам!";"";"Батареи салютов В гостях у сказки (1,25" х 100) А7613";
"344";"16";"Новогодняя карусель (1,25"х100)";"У нас Вы можете купить Батареи салютов Новогодняя карусель (1,25"х100) А7616 по самым низким ценам!";"";"Батареи салютов Новогодняя карусель (1,25"х100) А7616";
"345";"16";"Карнавальная ночь (1,25"х100)";"У нас Вы можете купить Батареи салютов Карнавальная ночь (1,25"х100) А7617 по самым низким ценам!";"";"Батареи салютов Карнавальная ночь (1,25"х100) А7617";
"346";"16";"Поле Чудес (1,25"х100)";"У нас Вы можете купить Батареи салютов Поле Чудес (1,25"х100) А7618 по самым низким ценам!";"";"Батареи салютов Поле Чудес (1,25"х100) А7618";
"347";"16";"Малиновые сны (1,25"х150)";"У нас Вы можете купить Батареи салютов Малиновые сны (1,25"х150) А7619 по самым низким ценам!";"";"Батареи салютов Малиновые сны (1,25"х150) А7619";
"351";"16";"Эксклюзив (1,2" х 200)";"У нас Вы можете купить Батареи салютов Эксклюзив (1,2" х 200) А7623 по самым низким ценам!";"";"Батареи салютов Эксклюзив (1,2" х 200) А7623";
"352";"16";"Москва Златоглавая (1,25" х 150)";"У нас Вы можете купить Батареи салютов Москва Златоглавая (1,25" х 150) А7642 по самым низким ценам!";"";"Батареи салютов Москва Златоглавая (1,25" х 150) А7642";
"354";"16";"Ромео и Джульетта (1,25"х150)";"У нас Вы можете купить Батареи салютов Ромео и Джульетта (1,25"х150) А7644 по самым низким ценам!";"";"Батареи салютов Ромео и Джульетта (1,25"х150) А7644";
"356";"16";"Вечерний звон (1,25"х200)";"У нас Вы можете купить Батареи салютов Вечерний звон (1,25"х200) А7667 по самым низким ценам!";"";"Батареи салютов Вечерний звон (1,25"х200) А7667";
"357";"16";"Подмосковные вечера (1,25"х250)";"У нас Вы можете купить Батареи салютов Подмосковные вечера (1,25"х250) А7668 по самым низким ценам!";"";"Батареи салютов Подмосковные вечера (1,25"х250) А7668";
"374";"16";"Зевс (1,2" х 300)";"У нас Вы можете купить Батареи салютов Зевс (1,2" х 300) БСП0530012 по самым низким ценам!";"";"Батареи салютов Зевс (1,2" х 300) БСП0530012";
"387";"16";"Будем! (0,8''x10)";"У нас Вы можете купить Батареи салютов Будем! (0,8''x10) Е-С215 по самым низким ценам!";"";"Батареи салютов Будем! (0,8''x10) Е-С215";
"391";"16";"Ха-ра-шо! (0,8" х 16)";"У нас Вы можете купить Батареи салютов Ха-ра-шо! (0,8" х 16) Е-С226 по самым низким ценам!";"";"Батареи салютов Ха-ра-шо! (0,8" х 16) Е-С226";
"399";"16";"Новогод (0,8''x25)";"У нас Вы можете купить Батареи салютов Новогод (0,8''x25) Е-С268 по самым низким ценам!";"";"Батареи салютов Новогод (0,8''x25) Е-С268";
"407";"16";"Роял де Люкс (0,8" х 100)";"У нас Вы можете купить Батареи салютов Роял де Люкс (0,8" х 100) Е-С350 по самым низким ценам!";"";"Батареи салютов Роял де Люкс (0,8" х 100) Е-С350";
"414";"16";"Полный песец (1" х 19)";"У нас Вы можете купить Батареи салютов Полный песец (1" х 19) Е-С440 по самым низким ценам!";"";"Батареи салютов Полный песец (1" х 19) Е-С440";
"418";"16";"Есть контакт! (1''x25) МОНОБЛОК";"У нас Вы можете купить Батареи салютов Есть контакт! (1''x25) МОНОБЛОК Е-С463 по самым низким ценам!";"";"Батареи салютов Есть контакт! (1''x25) МОНОБЛОК Е-С463";
"422";"16";"Разбуди соседей! (1''x66)";"У нас Вы можете купить Батареи салютов Разбуди соседей! (1''x66) Е-С535 по самым низким ценам!";"";"Батареи салютов Разбуди соседей! (1''x66) Е-С535";
"429";"16";"Новогодняя шумиха (1,25"х 20)";"У нас Вы можете купить Батареи салютов Новогодняя шумиха (1,25"х 20) Е-С650 по самым низким ценам!";"";"Батареи салютов Новогодняя шумиха (1,25"х 20) Е-С650";
"432";"16";"По-нашему! (1,25''x36) МОНОБЛОК";"У нас Вы можете купить Батареи салютов По-нашему! (1,25''x36) МОНОБЛОК Е-С680 по самым низким ценам!";"";"Батареи салютов По-нашему! (1,25''x36) МОНОБЛОК Е-С680";
"497";"16";"ПироАрт (1,2" х 100)";"У нас Вы можете купить Батареи салютов ПироАрт (1,2" х 100) ЕС217 по самым низким ценам!";"";"Батареи салютов ПироАрт (1,2" х 100) ЕС217";
"504";"16";"Рублевский (1,2" х 120)";"У нас Вы можете купить Батареи салютов Рублевский (1,2" х 120) ЕС300 по самым низким ценам!";"";"Батареи салютов Рублевский (1,2" х 120) ЕС300";
"505";"16";"Профессионал (1,2" х 126)";"У нас Вы можете купить Батареи салютов Профессионал (1,2" х 126) ЕС301 по самым низким ценам!";"";"Батареи салютов Профессионал (1,2" х 126) ЕС301";
"508";"16";"Пояс Ориона (0,8-1,0-1,2" х 146)";"У нас Вы можете купить Батареи салютов Пояс Ориона (0,8-1,0-1,2" х 146) ЕС304 по самым низким ценам!";"";"Батареи салютов Пояс Ориона (0,8-1,0-1,2" х 146) ЕС304";
"511";"16";"Бум Бокс (1,0-1,2" х 250)";"У нас Вы можете купить Батареи салютов Бум Бокс (1,0-1,2" х 250) ЕС307 по самым низким ценам!";"";"Батареи салютов Бум Бокс (1,0-1,2" х 250) ЕС307";
"512";"16";"Барвиха (0,8-1,0-1,2" х 290)";"У нас Вы можете купить Батареи салютов Барвиха (0,8-1,0-1,2" х 290) ЕС308 по самым низким ценам!";"";"Батареи салютов Барвиха (0,8-1,0-1,2" х 290) ЕС308";
"516";"16";"Прототип (1,0-1,2" х 177)";"У нас Вы можете купить Батареи салютов Прототип (1,0-1,2" х 177) ЕС315 по самым низким ценам!";"";"Батареи салютов Прототип (1,0-1,2" х 177) ЕС315";
"526";"16";"Хлопающие шары (16х12х6)";"У нас Вы можете купить Петарды Хлопающие шары (16х12х6) Р1030 по самым низким ценам!";"";"Петарды Хлопающие шары (16х12х6) Р1030";
"527";"16";"Связка-16 (70 мм х50мм)";"У нас Вы можете купить Петарды Связка-16 (70 мм х50мм) Р1040 по самым низким ценам!";"";"Петарды Связка-16 (70 мм х50мм) Р1040";
"528";"16";"Лимонка (с чекой) (60х12)";"У нас Вы можете купить Петарды Лимонка (с чекой) (60х12) Р1050 по самым низким ценам!";"";"Петарды Лимонка (с чекой) (60х12) Р1050";
"529";"16";"Бомба с чекой";"У нас Вы можете купить Петарды Бомба с чекой Р1060 по самым низким ценам!";"";"Петарды Бомба с чекой Р1060";
"530";"16";"Корсар 8 мини (O15 мм х 52 мм)";"У нас Вы можете купить Петарды Корсар 8 мини (O15 мм х 52 мм) Р1080 по самым низким ценам!";"";"Петарды Корсар 8 мини (O15 мм х 52 мм) Р1080";
"531";"16";"Корсар 8 (оформлен для штучной продажи)";"У нас Вы можете купить Петарды Корсар 8 (оформлен для штучной продажи) Р1082 по самым низким ценам!";"";"Петарды Корсар 8 (оформлен для штучной продажи) Р1082";
"532";"16";"Мега Корсар";"У нас Вы можете купить Петарды Мега Корсар Р1084 по самым низким ценам!";"";"Петарды Мега Корсар Р1084";
"533";"16";"Граната";"У нас Вы можете купить Петарды Граната Р1090 по самым низким ценам!";"";"Петарды Граната Р1090";
"534";"16";"Корсар-1 (20х12х60)";"У нас Вы можете купить Петарды Корсар-1 (20х12х60) Р1106 по самым низким ценам!";"";"Петарды Корсар-1 (20х12х60) Р1106";
"535";"16";"Корсар 2 (25х15х20)";"У нас Вы можете купить Петарды Корсар 2 (25х15х20) Р1202 по самым низким ценам!";"";"Петарды Корсар 2 (25х15х20) Р1202";
"536";"16";"Корсар-3 (50х10х10)";"У нас Вы можете купить Петарды Корсар-3 (50х10х10) Р1301 по самым низким ценам!";"";"Петарды Корсар-3 (50х10х10) Р1301";
"538";"16";"Корсар 4 (16х12х12)";"У нас Вы можете купить Петарды Корсар 4 (16х12х12) Р1400 по самым низким ценам!";"";"Петарды Корсар 4 (16х12х12) Р1400";
"542";"16";"Корсар 6 (O20 мм х 78 мм)";"У нас Вы можете купить Петарды Корсар 6 (O20 мм х 78 мм) Р1600 по самым низким ценам!";"";"Петарды Корсар 6 (O20 мм х 78 мм) Р1600";
"545";"16";"Факел дымовой с чекой красный";"У нас Вы можете купить Факел дымовой с чекой красный Р1750 по самым низким ценам!";"";"Факел дымовой с чекой красный Р1750";
"546";"16";"Факел дымовой с чекой синий";"У нас Вы можете купить Факел дымовой с чекой синий Р1751 по самым низким ценам!";"";"Факел дымовой с чекой синий Р1751";
"547";"16";"Факел дымовой с чекой белый";"У нас Вы можете купить Факел дымовой с чекой белый Р1752 по самым низким ценам!";"";"Факел дымовой с чекой белый Р1752";
"548";"16";"Факел дымовой с чекой зеленый";"У нас Вы можете купить Факел дымовой с чекой зеленый Р1753 по самым низким ценам!";"";"Факел дымовой с чекой зеленый Р1753";
"555";"16";"Пугач (25х12х12)";"У нас Вы можете купить Ракеты Пугач (25х12х12) Р2010 по самым низким ценам!";"";"Ракеты Пугач (25х12х12) Р2010";
"559";"16";"Ракета "Ассорти" НОВЫЙ ЭФФЕКТ";"У нас Вы можете купить Ракета "Ассорти" НОВЫЙ ЭФФЕКТ Р2300 по самым низким ценам!";"";"Ракета "Ассорти" НОВЫЙ ЭФФЕКТ Р2300";
"569";"16";"Ястреб";"У нас Вы можете купить Ракеты Ястреб Р2440 по самым низким ценам!";"";"Ракеты Ястреб Р2440";
"576";"16";"Метеор НОВЫЙ ЭФФЕКТ";"У нас Вы можете купить Ракеты Метеор НОВЫЙ ЭФФЕКТ Р2600 по самым низким ценам!";"";"Ракеты Метеор НОВЫЙ ЭФФЕКТ Р2600";
"581";"16";"Огненные пчёлы (30х10х12)";"У нас Вы можете купить Вертушки Огненные пчёлы (30х10х12) Р3010 по самым низким ценам!";"";"Вертушки Огненные пчёлы (30х10х12) Р3010";
"582";"16";"Мотылек (16х10х12)";"У нас Вы можете купить Вертушки Мотылек (16х10х12) Р3020 по самым низким ценам!";"";"Вертушки Мотылек (16х10х12) Р3020";
