id_product;reference;r1;r2;r3;rname;rtor
764;Р7328;1;1;4;Новог. приключ.;1
766;Р7333;1;1;4;Дари радость!;1
768;Р7340;1;1;4;Новог. экспресс;1
771;Р7342;1;1;12;Встречайте;1
773;Р7350;1;1;18;Снежная королева;1
776;Р7360;1;1;8;12 месяцев;1
782;Р7453;1;1;18;Мандаринка;1
783;Р7456;1;1;24;Двое из ларца;1
784;Р7460;1;1;12;Крутые перцы;1
785;Р7462;1;1;12;Калинка-малинка;1
786;Р7463;1;1;12;Диковинка;1
791;Р7468;1;1;12;Капитан Морган;1
792;Р7471;1;1;12;Zorro;1
794;Р7473;1;1;12;Павлин;1
796;Р7482;1;1;18;Час Пик;1
798;Р7486;1;1;12;Запах хвои;1
800;Р7491;1;1;12;Пять звёзд;1
803;Р7494;1;1;9;Снежная сказка;1
806;Р7500;1;1;8;Амигос;1
807;Р7502;1;1;6;Мороз-Красн. нос;1
808;Р7511;1;1;8;Комбат;1
810;Р7513;1;1;4;Амазонка;1
818;Р7528;1;1;8;Пальцы веером;1
828;Р7545;1;1;1;Севастополь;1
834;Р7556;1;1;12;Барабанщица;1
837;Р7563;1;1;8;Красный старт;0
838;Р7564;1;1;8;С Новым годом!;1
844;Р7591;1;1;8;С Рождеством!;1
845;Р7592;1;1;8;Калаш;1
846;Р7593;1;1;8;У Дачи;1
851;Р7612;1;1;8;Три медведя;1
855;Р7690;1;1;8;Провокация;1
857;Р7700;1;1;4;Дедушка Мороз;1
858;Р7750;1;1;4;Мустанг;1
862;Р7808;1;1;4;Суперхит;1
864;Р7812;1;1;4;За ВДВ!;1
869;Р7822;1;1;3;Волш. фейерверк;1
876;Р7832;1;1;4;Новогод. каникулы;1
880;Р7844;1;1;4;Ветер перемен;1
908;Р7926;1;1;2;Босс;1
909;Р7951;1;1;2;Сказка;1
913;Р7956;1;1;1;Король солнце;1
935;Р8272;1;1;1;Птица-тройка;1
947;Р8315;1;1;1;Русский размах;1
963;Р8452;1;1;1;Дерзкая роскошь;1
965;Р8463;1;1;2;Флагман;1
967;Р8470;1;1;1;Салют в бол. гор.;1
986;Р8605;1;1;1;Профессионал;1
1003;Р8700;1;1;2;Гладиатор;1
1018;Р9020;1;1;192;Пруж. хлопушка;1
1022;Р9033;1;1;72;Свадебная-30м;1
1025;Р9060;1;1;36;Праздничная-60д;1
1027;Р9062;1;1;36;Свадебная-60б;1
1028;Р9063;1;1;36;Свадебная-60м;1
1029;Р9064;1;1;36;Праздничная-60д;1
1030;Р9100;1;1;36;Праздничная-100;1
1083;РС018;12;20;30;Корсар Моргана 1;20
1084;РС020;20;12;60;Корсар-1;0
1085;РС021;60;12;20;Корсар-1;0
