Артикул|Цена|Кол-во|Склад ID
TXR606|471.89|133|1
YHW009|2453.84|14|1
А7528|7400.00|1|1
А7600|10600.00|1|1
А7605|10600.00|2|1
А7606|10600.00|2|1
А7607|10600.00|1|1
А7609|10600.00|1|1
А7610|10600.00|1|1
А7611|10600.00|1|1
А7612|10600.00|1|1
А7613|10600.00|1|1
А7616|10600.00|1|1
А7617|10600.00|1|1
А7618|10600.00|2|1
А7619|16000.00|2|1
А7623|23000.00|1|1
А7642|16000.00|2|1
А7644|16000.00|2|1
А7667|23000.00|2|1
А7668|26000.00|2|1
БСП0530012|32700.00|1|1
Е-С650|1412.00|14|1
ЕС217|9700.00|1|1
ЕС300|12500.00|1|1
ЕС301|13800.00|2|1
ЕС304|13000.00|2|1
ЕС307|25500.00|3|1
ЕС308|27500.00|4|1
ЕС315|17500.00|3|1
Р1030|534.00|52|1
Р1040|752.00|138|1
Р1060|380.00|27|1
Р1080|173.00|183|1
Р1084|211.00|26|1
Р1090|605.00|26|1
Р1106|432.00|216|1
Р1600|124.00|14|1
Р1750|1136.00|10|1
Р1751|1136.00|10|1
Р1752|1136.00|10|1
Р1753|1136.00|9|1
Р2010|567.00|57|1
Р2300|223.00|25|1
Р2440|330.00|92|1
Р2600|956.00|34|1
Р3010|588.00|69|1
Р3020|798.00|34|1
Р3100|291.00|33|1
Р3110|128.00|89|1
Р3200|85.00|193|1
Р3520|690.00|23|1
Р3530|772.00|69|1
Р4066|852.00|12|1
Р4070|872.00|56|1
Р4110|1260.00|22|1
Р4114|1384.00|20|1
Р4115|1516.00|26|1
Р4206|205.00|24|1
Р4210|286.00|13|1
Р4213|99.00|90|1
Р4350|425.00|98|1
Р4810|1180.00|38|1
Р5510|504.00|6|1
Р5512|536.00|14|1
Р5516|664.00|78|1
Р5540|460.00|45|1
Р5541|460.00|43|1
Р5604|798.00|1|1
Р5606|884.00|24|1
Р5800|705.00|16|1
Р6210|699.00|1|1
Р6290|4170.00|1|1
Р6720|296.00|50|1
Р6780|677.00|18|1
Р7010|359.00|24|1
Р7040|692.00|30|1
Р7064|699.00|15|1
Р7130|249.00|49|1
Р7200|465.00|9|1
Р7210|560.00|38|1
Р7300|752.00|69|1
Р7302|830.00|23|1
Р7311|956.00|42|1
Р7312|799.00|34|1
Р7321|1080.00|7|1
Р7325|1680.00|41|1
Р7326|3400.00|6|1
Р7328|4460.00|10|1
Р7333|2930.00|3|1
Р7342|872.00|52|1
Р7350|1027.00|56|1
Р7456|746.00|41|1
Р7460|660.00|65|1
Р7462|849.00|26|1
Р7463|956.00|46|1
Р7471|999.00|28|1
Р7473|920.00|27|1
Р7482|1100.00|9|1
Р7486|1184.00|20|1
Р7494|1399.00|28|1
Р7528|1296.00|9|1
Р7545|10260.00|4|1
Р7556|1030.00|71|1
Р7564|1599.00|25|1
Р7591|1216.00|54|1
Р7592|1216.00|46|1
Р7593|1216.00|47|1
Р7690|1488.00|9|1
Р7750|1735.00|5|1
Р7808|2862.00|11|1
Р7812|2434.00|3|1
Р8272|15550.00|3|1
Р8315|36100.00|1|1
Р8452|17370.00|3|1
Р8470|11880.00|1|1
Р8605|48550.00|1|1
Р9020|50.00|131|1
Р9033|126.00|50|1
Р9060|127.00|41|1
Р9062|148.00|1|1
Р9063|213.00|42|1
Р9064|186.00|46|1
Р9100|410.00|54|1
РС108|532.00|102|1
РС109|672.00|9|1
РС110|279.00|88|1
РС121|432.00|12|1
РС131|760.00|21|1
РС132|337.00|34|1
РС133|200.00|96|1
РС137|463.00|1|1
РС142|232.00|53|1
РС144|291.00|57|1
РС148|228.00|22|1
РС149|412.00|51|1
РС170|856.00|59|1
РС171|1102.00|26|1
РС220|150.00|21|1
РС230|690.00|37|1
РС240|880.00|34|1
РС250|2340.00|8|1
РС251|1474.00|20|1
РС345|271.00|28|1
РС347|860.00|31|1
РС455|1300.00|22|1
РС459|590.00|28|1
РС461|1795.00|16|1
РС462|1566.00|12|1
РС470|544.00|32|1
РС473|477.00|11|1
РС474|1056.00|18|1
РС476|3160.00|1|1
РС478|631.00|61|1
РС484|999.00|29|1
РС494|2702.00|2|1
РС502|616.00|24|1
РС503|328.00|1|1
РС508|370.00|22|1
РС514|600.00|20|1
РС515|370.00|24|1
РС516|484.00|53|1
РС517|572.00|13|1
РС518|656.00|32|1
РС519|673.00|9|1
РС520|828.00|33|1
РС521|829.00|17|1
РС522|828.00|26|1
РС530|639.00|53|1
РС531|639.00|53|1
РС532|408.00|30|1
РС533|397.00|72|1
РС534|370.00|35|1
РС535|570.00|57|1
РС541|654.00|64|1
РС542|786.00|21|1
РС552|275.00|61|1
РС553|676.00|42|1
РС554|678.00|11|1
РС566|828.00|77|1
РС604|648.00|43|1
РС606|648.00|30|1
РС608|744.00|32|1
РС610|999.00|29|1
РС611|1112.00|6|1
РС613|999.00|45|1
РС614|999.00|7|1
РС615|999.00|35|1
РС616|459.00|2|1
РС620|1898.00|50|1
РС622|1180.00|32|1
РС625|1240.00|21|1
РС627|1650.00|29|1
РС659|3900.00|11|1
РС686|769.00|25|1
РС692|399.00|82|1
РС702|730.00|158|1
РС703|850.00|4|1
РС704|711.00|64|1
РС705|975.00|68|1
РС706|975.00|54|1
РС707|1150.00|63|1
РС716|1000.00|21|1
РС717|1500.00|3|1
РС719|1500.00|15|1
РС725|2300.00|16|1
РС727|2198.00|23|1
РС741|3258.00|1|1
РС801|1300.00|22|1
РС805|1290.00|46|1
РС806|1290.00|47|1
РС807|1518.00|4|1
РС808|1500.00|44|1
РС809|1518.00|38|1
РС810|1500.00|49|1
РС811|1500.00|53|1
РС818|1990.00|11|1
РС819|1994.00|8|1
РС828|2954.00|11|1
РС837|4490.00|1|1
