id_product;name;reference;price;active;id_manufacturer;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"407";"0";"Е-С350";"3175.000000";"1";"ФейерЛэнд";"ogonek";"1";"1328";"Батареи салютов";"0";"0";"";"0";"1";
"414";"0";"Е-С440";"989.000000";"1";"ФейерЛэнд";"ogonek";"1";"1329";"Батареи салютов";"0";"0";"";"0";"1";
"418";"0";"Е-С463";"1110.000000";"1";"ФейерЛэнд";"ogonek";"1";"1336";"Батареи салютов";"0";"0";"";"0";"1";
"422";"3";"Е-С535";"3130.000000";"1";"Русский Фейерверк";"ogonek";"1";"1341";"Батареи салютов";"0";"0";"";"0";"1";
"429";"0";"Е-С650";"1412.000000";"1";"ФейерЛэнд";"ogonek";"1";"1350";"Батареи салютов";"0";"0";"";"1";"0";
"432";"0";"Е-С680";"2412.000000";"1";"ФейерЛэнд";"ogonek";"1";"1355";"Батареи салютов";"0";"0";"";"0";"1";
"497";"0";"ЕС217";"9700.000000";"1";"РуСалют";"ogonek";"1";"1362";"Батареи салютов";"0";"0";"";"0";"1";
"504";"1";"ЕС300";"12500.000000";"1";"РуСалют";"ogonek";"1";"1366";"Батареи салютов";"0";"0";"";"1";"0";
"505";"1";"ЕС301";"13800.000000";"1";"РуСалют";"ogonek";"1";"1373";"Батареи салютов";"0";"0";"";"1";"0";
"508";"1";"ЕС304";"13000.000000";"1";"РуСалют";"ogonek";"1";"1374";"Батареи салютов";"0";"0";"";"1";"0";
"511";"3";"ЕС307";"25500.000000";"1";"РуСалют";"ogonek";"1";"1380";"Батареи салютов";"0";"0";"";"3";"0";
"512";"4";"ЕС308";"27500.000000";"1";"РуСалют";"ogonek";"1";"1385";"Батареи салютов";"0";"0";"";"4";"0";
"516";"0";"ЕС315";"17500.000000";"1";"РуСалют";"ogonek";"1";"1391";"Батареи салютов";"0";"0";"";"0";"1";
"526";"19";"Р1030";"534.000000";"1";"Русский Фейерверк";"ogonek";"1";"1392";"Петарды";"0";"0";"";"36";"0";
"527";"76";"Р1040";"752.000000";"1";"Русский Фейерверк";"ogonek";"1";"1393";"Петарды";"0";"0";"";"57";"0";
"528";"86";"Р1050";"326.000000";"1";"Русский Фейерверк";"ogonek";"1";"1394";"Петарды";"0";"0";"";"91";"0";
"529";"56";"Р1060";"380.000000";"1";"Русский Фейерверк";"ogonek";"1";"1395";"Петарды";"0";"0";"";"49";"0";
"530";"-47";"Р1080";"173.000000";"1";"Русский Фейерверк";"ogonek";"1";"1396";"Петарды";"0";"0";"";"289";"0";
"531";"254";"Р1082";"124.000000";"1";"Русский Фейерверк";"ogonek";"1";"1397";"Петарды";"0";"0";"";"254";"0";
"532";"90";"Р1084";"210.000000";"1";"Русский Фейерверк";"ogonek";"1";"1398";"Петарды";"0";"0";"";"93";"0";
"533";"52";"Р1090";"605.000000";"1";"Русский Фейерверк";"ogonek";"1";"1399";"Петарды";"0";"0";"";"55";"0";
"534";"3";"Р1106";"432.000000";"1";"Русский Фейерверк";"ogonek";"1";"1400";"Петарды";"0";"0";"";"28";"0";
"535";"2";"Р1202";"462.000000";"1";"Русский Фейерверк";"ogonek";"1";"1401";"Петарды";"0";"0";"";"12";"0";
"536";"75";"Р1301";"238.000000";"1";"Русский Фейерверк";"ogonek";"1";"2849";"Петарды";"0";"0";"";"65";"0";
"538";"0";"Р1400";"696.000000";"1";"Русский Фейерверк";"ogonek";"1";"1402";"Петарды";"0";"0";"";"1";"0";
"542";"-75";"Р1600";"124.000000";"1";"Русский Фейерверк";"ogonek";"1";"1403";"Петарды";"0";"0";"";"229";"0";
"545";"33";"Р1750";"1136.000000";"1";"Русский Фейерверк";"ogonek";"1";"1404";"Факелы";"0";"0";"";"33";"0";
"546";"35";"Р1751";"1136.000000";"1";"Русский Фейерверк";"ogonek";"1";"1405";"Факелы";"0";"0";"";"37";"0";
"547";"37";"Р1752";"1136.000000";"1";"Русский Фейерверк";"ogonek";"1";"1406";"Факелы";"0";"0";"";"37";"0";
"548";"36";"Р1753";"1136.000000";"1";"Русский Фейерверк";"ogonek";"1";"1407";"Факелы";"0";"0";"";"36";"0";
"555";"164";"Р2010";"567.000000";"1";"Русский Фейерверк";"ogonek";"1";"1408";"Ракеты";"0";"0";"";"142";"0";
"559";"292";"Р2300";"223.000000";"1";"Русский Фейерверк";"ogonek";"1";"1410";"Ракеты";"0";"0";"";"288";"0";
"569";"2";"Р2440";"330.000000";"1";"Русский Фейерверк";"ogonek";"1";"1414";"Ракеты";"0";"0";"";"1";"0";
"576";"2";"Р2600";"956.000000";"1";"Русский Фейерверк";"ogonek";"1";"1417";"Ракеты";"0";"0";"";"2";"0";
"581";"84";"Р3010";"588.000000";"1";"Русский Фейерверк";"ogonek";"1";"1419";"Вертушки";"0";"0";"";"59";"0";
"582";"4";"Р3020";"798.000000";"1";"Русский Фейерверк";"ogonek";"1";"2831";"Вертушки";"0";"0";"";"7";"0";
"583";"32";"Р3100";"291.000000";"1";"Русский Фейерверк";"ogonek";"1";"1423";"Вертушки";"0";"0";"";"54";"0";
"584";"127";"Р3110";"128.000000";"1";"Русский Фейерверк";"ogonek";"1";"1426";"Вертушки";"0";"0";"";"90";"0";
"585";"169";"Р3200";"85.000000";"1";"Русский Фейерверк";"ogonek";"1";"1429";"Вертушки";"0";"0";"";"170";"0";
"587";"61";"Р3520";"690.000000";"1";"Русский Фейерверк";"ogonek";"1";"1430";"Вертушки";"0";"0";"";"61";"0";
"588";"2";"Р3530";"772.000000";"1";"Русский Фейерверк";"ogonek";"1";"1433";"Вертушки";"0";"0";"";"1";"0";
"596";"0";"Р4066";"852.000000";"1";"Русский Фейерверк";"ogonek";"1";"1436";"Фонтаны";"0";"0";"";"0";"1";
"598";"1";"Р4070";"872.000000";"1";"Русский Фейерверк";"ogonek";"1";"1443";"Фонтаны";"0";"0";"";"2";"0";
"603";"0";"Р4110";"1260.000000";"1";"Русский Фейерверк";"ogonek";"1";"1446";"Фонтаны";"0";"0";"";"0";"1";
"606";"8";"Р4114";"1384.000000";"1";"Русский Фейерверк";"ogonek";"1";"1449";"Фонтаны";"0";"0";"";"48";"0";
