id_product;active;name;categories;price;id_tax_rules_group;wholesale_price;reference;supplier_reference;id_supplier;id_manufacturer;upc;ecotax;weight;quantity;description_short;description;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;date_add;show_price;online_only;condition;id_shop_default;
"142";"1";"5";"Петарды";"1477.020000";"0";"568.100000";"TXB073";"TXB073";"1";"12";"";"0.000000";"2.000000";"0";"";"";"Батареи салютов Champion , 23 сек (1.00" x 36) TXB073 ОПТОМ";"";"У нас Вы можете купить Батареи салютов Champion , 23 сек (1.00" x 36) TXB073 ОПТОМ по самым низким ценам!";"champion-23-sek-100-x-36";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"146";"1";"0";"Петарды";"1425.110000";"0";"548.130000";"TXB093";"TXB093";"1";"12";"";"0.000000";"0.000000";"0";"";"";"Батареи салютов ROYAL, 50 сек (1.20" x 25) TXB093 ОПТОМ";"";"У нас Вы можете купить Батареи салютов ROYAL, 50 сек (1.20" x 25) TXB093 ОПТОМ по самым низким ценам!";"royal-50-sek-120-x-25";"";"";"1";"2017-11-05 12:27:39";"1";"0";"new";"1";
"148";"1";"406";"Петарды";"132.130000";"0";"50.820000";"TXB132";"TXB132";"1";"12";"";"0.000000";"0.233333";"0";"";"";"Батареи салютов КАТЮША (50 выстрелов) (0.30" x 50) TXB132 ОПТОМ";"";"У нас Вы можете купить Батареи салютов КАТЮША (50 выстрелов) (0.30" x 50) TXB132 ОПТОМ по самым низким ценам!";"katyusha-50-vystrelov-030-x-50";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"149";"1";"12";"Петарды";"264.260000";"0";"101.640000";"TXB133";"TXB133";"1";"12";"";"0.000000";"0.433333";"0";"";"";"Батареи салютов КАТЮША (100 выстрелов) (0.30" x 100) TXB133 ОПТОМ";"";"У нас Вы можете купить Батареи салютов КАТЮША (100 выстрелов) (0.30" x 100) TXB133 ОПТОМ по самым низким ценам!";"katyusha-100-vystrelov-030-x-100";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"150";"1";"1";"Петарды";"649.330000";"0";"249.750000";"TXB171";"TXB171";"1";"12";"";"0.000000";"1.055556";"0";"";"";"Батареи салютов TREE COLOURS, 20 сек (1.00" x 16) TXB171 ОПТОМ";"";"У нас Вы можете купить Батареи салютов TREE COLOURS, 20 сек (1.00" x 16) TXB171 ОПТОМ по самым низким ценам!";"tree-colours-20-sek-100-x-16";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"151";"1";"9";"Петарды";"1066.480000";"0";"410.190000";"TXB172";"TXB172";"1";"12";"";"0.000000";"1.583333";"0";"";"";"Батареи салютов COCO, 38 сек (1.00" x 25) TXB172 ОПТОМ";"";"У нас Вы можете купить Батареи салютов COCO, 38 сек (1.00" x 25) TXB172 ОПТОМ по самым низким ценам!";"coco-38-sek-100-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"152";"1";"25";"Петарды";"1340.170000";"0";"515.460000";"TXB173";"TXB173";"1";"12";"";"0.000000";"2.625000";"0";"";"";"Батареи салютов NIGHT AURA , 34 сек (1.00" x 25) TXB173 ОПТОМ";"";"У нас Вы можете купить Батареи салютов NIGHT AURA , 34 сек (1.00" x 25) TXB173 ОПТОМ по самым низким ценам!";"night-aura-34-sek-100-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"153";"1";"15";"Петарды";"604.020000";"0";"232.320000";"TXB174";"TXB174";"1";"12";"";"0.000000";"1.066667";"0";"";"";"Батареи салютов LILY MAGNOLIA, 20 сек (1.00" x 16) TXB174 ОПТОМ";"";"У нас Вы можете купить Батареи салютов LILY MAGNOLIA, 20 сек (1.00" x 16) TXB174 ОПТОМ по самым низким ценам!";"lily-magnolia-20-sek-100-x-16";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"154";"1";"0";"Петарды";"2359.460000";"0";"907.500000";"TXB189";"TXB189";"1";"12";"";"0.000000";"4.000000";"0";"";"";"Батареи салютов TURBO BOX, 58 сек (1.20" x 36) TXB189 ОПТОМ";"";"У нас Вы можете купить Батареи салютов TURBO BOX, 58 сек (1.20" x 36) TXB189 ОПТОМ по самым низким ценам!";"turbo-box-58-sek-120-x-36";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"156";"1";"0";"Петарды";"654.990000";"0";"251.920000";"TXB205";"TXB205";"1";"12";"";"0.000000";"1.333333";"0";"";"";"Батареи салютов RAINBOW, 19 сек (1.20" x 8) TXB205 ОПТОМ";"";"У нас Вы можете купить Батареи салютов RAINBOW, 19 сек (1.20" x 8) TXB205 ОПТОМ по самым низким ценам!";"rainbow-19-sek-120-x-8";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
