id_product;id_image;id_shop;cover;
"851";"1797";"16";"";
"851";"1798";"16";"";
"851";"1799";"16";"";
"851";"1800";"16";"";
"855";"1801";"16";"1";
"855";"1802";"16";"";
"855";"1803";"16";"";
"855";"1804";"16";"";
"855";"1805";"16";"";
"855";"1806";"16";"";
"855";"1807";"16";"";
"855";"1808";"16";"";
"857";"1809";"16";"1";
"857";"1810";"16";"";
"857";"1811";"16";"";
"857";"1812";"16";"";
"857";"1813";"16";"";
"857";"1814";"16";"";
"857";"1815";"16";"";
"857";"1816";"16";"";
"857";"1817";"16";"";
"858";"1818";"16";"1";
"862";"1819";"16";"1";
"862";"1820";"16";"";
"862";"1821";"16";"";
"862";"1822";"16";"";
"862";"1823";"16";"";
"862";"1824";"16";"";
"864";"1825";"16";"1";
"864";"1826";"16";"";
"864";"1827";"16";"";
"864";"1828";"16";"";
"864";"1829";"16";"";
"864";"1830";"16";"";
"864";"1831";"16";"";
"864";"1832";"16";"";
"864";"1833";"16";"";
"864";"1834";"16";"";
"864";"1835";"16";"";
"864";"1836";"16";"";
"864";"1837";"16";"";
"864";"1838";"16";"";
"864";"1839";"16";"";
"869";"1840";"16";"1";
"869";"1841";"16";"";
"869";"1842";"16";"";
"869";"1843";"16";"";
"869";"1844";"16";"";
"869";"1845";"16";"";
"869";"1846";"16";"";
"869";"1847";"16";"";
"869";"1848";"16";"";
"876";"1849";"16";"1";
"876";"1850";"16";"";
"876";"1851";"16";"";
"876";"1852";"16";"";
"876";"1853";"16";"";
"876";"1854";"16";"";
"876";"1855";"16";"";
"876";"1856";"16";"";
"880";"1857";"16";"1";
"880";"1858";"16";"";
"880";"1859";"16";"";
"880";"1860";"16";"";
"880";"1861";"16";"";
"880";"1862";"16";"";
"880";"1863";"16";"";
"880";"1864";"16";"";
"880";"1865";"16";"";
"880";"1866";"16";"";
"880";"1867";"16";"";
"908";"1868";"16";"1";
"908";"1869";"16";"";
"908";"1870";"16";"";
"908";"1871";"16";"";
"908";"1872";"16";"";
"908";"1873";"16";"";
"908";"1874";"16";"";
"908";"1875";"16";"";
"909";"1876";"16";"1";
"909";"1877";"16";"";
"909";"1878";"16";"";
"909";"1879";"16";"";
"909";"1880";"16";"";
"909";"1881";"16";"";
"909";"1882";"16";"";
"909";"1883";"16";"";
"913";"1884";"16";"1";
"913";"1885";"16";"";
"913";"1886";"16";"";
"913";"1887";"16";"";
"913";"1888";"16";"";
"913";"1889";"16";"";
"913";"1890";"16";"";
"913";"1891";"16";"";
"935";"1892";"16";"1";
"935";"1893";"16";"";
"935";"1894";"16";"";
"935";"1895";"16";"";
"935";"1896";"16";"";
"935";"1897";"16";"";
"935";"1898";"16";"";
"947";"1899";"16";"1";
"947";"1900";"16";"";
"947";"1901";"16";"";
"947";"1902";"16";"";
"947";"1903";"16";"";
"947";"1904";"16";"";
"947";"1905";"16";"";
"947";"1906";"16";"";
"947";"1907";"16";"";
"947";"1908";"16";"";
"947";"1909";"16";"";
"947";"1910";"16";"";
"947";"1911";"16";"";
"947";"1912";"16";"";
"947";"1913";"16";"";
"947";"1914";"16";"";
"947";"1915";"16";"";
"947";"1916";"16";"";
"947";"1917";"16";"";
"947";"1918";"16";"";
"947";"1919";"16";"";
"947";"1920";"16";"";
"963";"1921";"16";"1";
"963";"1922";"16";"";
"963";"1923";"16";"";
"963";"1924";"16";"";
"963";"1925";"16";"";
"963";"1926";"16";"";
"963";"1927";"16";"";
"963";"1928";"16";"";
"963";"1929";"16";"";
"963";"1930";"16";"";
"963";"1931";"16";"";
"963";"1932";"16";"";
"963";"1933";"16";"";
"963";"1934";"16";"";
"963";"1935";"16";"";
"963";"1936";"16";"";
"963";"1937";"16";"";
"963";"1938";"16";"";
"963";"1939";"16";"";
"963";"1940";"16";"";
"963";"1941";"16";"";
"963";"1942";"16";"";
"963";"1943";"16";"";
"965";"1944";"16";"1";
"965";"1945";"16";"";
"965";"1946";"16";"";
"965";"1947";"16";"";
"965";"1948";"16";"";
"965";"1949";"16";"";
"965";"1950";"16";"";
"965";"1951";"16";"";
"965";"1952";"16";"";
"965";"1953";"16";"";
"986";"1954";"16";"1";
"986";"1955";"16";"";
"986";"1956";"16";"";
"986";"1957";"16";"";
"986";"1958";"16";"";
"986";"1959";"16";"";
"986";"1960";"16";"";
"986";"1961";"16";"";
"986";"1962";"16";"";
"986";"1963";"16";"";
"986";"1964";"16";"";
"986";"1965";"16";"";
"986";"1966";"16";"";
"986";"1967";"16";"";
"986";"1968";"16";"";
"986";"1969";"16";"";
"986";"1970";"16";"";
"986";"1971";"16";"";
"986";"1972";"16";"";
"986";"1973";"16";"";
"986";"1974";"16";"";
"986";"1975";"16";"";
"986";"1976";"16";"";
"986";"1977";"16";"";
"986";"1978";"16";"";
"986";"1979";"16";"";
"986";"1980";"16";"";
"986";"1981";"16";"";
"986";"1982";"16";"";
"986";"1983";"16";"";
"986";"1984";"16";"";
"986";"1985";"16";"";
"986";"1986";"16";"";
"986";"1987";"16";"";
"986";"1988";"16";"";
"986";"1989";"16";"";
"986";"1990";"16";"";
"986";"1991";"16";"";
"986";"1992";"16";"";
"986";"1993";"16";"";
"986";"1994";"16";"";
"986";"1995";"16";"";
"1003";"1996";"16";"1";
"1003";"1997";"16";"";
"1003";"1998";"16";"";
"1003";"1999";"16";"";
"1003";"2000";"16";"";
"1003";"2001";"16";"";
"1018";"2002";"16";"1";
"1022";"2003";"16";"1";
"1025";"2004";"16";"1";
"1027";"2005";"16";"1";
"1028";"2006";"16";"1";
"1029";"2007";"16";"1";
"1030";"2008";"16";"1";
"1083";"2009";"16";"1";
"1092";"2016";"16";"1";
"1093";"2017";"16";"1";
"1094";"2018";"16";"1";
"1095";"2019";"16";"1";
"1096";"2020";"16";"1";
"1097";"2021";"16";"1";
"1098";"2022";"16";"1";
